age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
38.0,47.0,1.6,F,21.0975,93.36666666666666,10.0,40.75,28.0,5.0,20.316666666666666,43.0
35.0,47.0,1.6,F,21.0975,90.58333333333333,10.0,41.166666666666664,14.0,5.0,20.016666666666666,50.0
29.0,59.0,1.84,M,21.0975,74.83333333333333,10.0,28.033333333333335,119.0,5.0,13.666666666666666,161.0
22.0,64.0,1.84,M,21.0975,82.68333333333334,10.0,36.483333333333334,7.0,5.0,18.066666666666666,119.0
47.0,77.0,1.85,M,21.0975,95.25,10.0,41.21666666666667,28.0,5.0,20.1,126.0
31.0,60.0,1.73,M,21.0975,67.13333333333334,10.0,30.533333333333335,161.0,5.0,15.266666666666667,14.0
30.0,68.0,1.81,M,21.0975,87.31666666666666,10.0,36.85,50.0,5.0,18.383333333333333,177.0
51.0,64.0,1.73,M,21.0975,83.66666666666667,10.0,38.36666666666667,35.0,5.0,18.7,93.0
45.0,65.0,1.65,F,21.0975,145.58333333333334,10.0,45.583333333333336,168.0,5.0,22.733333333333334,148.0
33.0,72.0,1.72,M,21.0975,80.78333333333333,10.0,36.96666666666667,147.0,5.0,17.933333333333334,154.0
50.0,72.0,1.8,M,21.0975,113.4,10.0,48.78333333333333,140.0,5.0,21.616666666666667,142.0
48.0,72.0,1.8,M,21.0975,108.93333333333334,10.0,47.416666666666664,140.0,5.0,22.283333333333335,107.0
55.0,73.0,1.85,M,21.0975,80.85,10.0,37.2,22.0,5.0,18.383333333333333,7.0
18.0,67.0,1.75,M,21.0975,90.0,10.0,39.21666666666667,42.0,5.0,19.5,70.0
45.0,56.0,1.64,F,21.0975,109.18333333333334,10.0,45.2,149.0,5.0,21.866666666666667,136.0
37.0,73.0,1.71,M,21.0975,118.88333333333334,10.0,35.333333333333336,84.0,5.0,16.8,92.0
40.0,68.0,1.76,M,21.0975,88.81666666666666,10.0,36.9,9.0,5.0,18.033333333333335,51.0
30.0,59.0,1.74,M,21.0975,75.01666666666667,10.0,33.25,13.0,5.0,15.95,71.0
37.0,60.0,1.66,M,21.0975,76.43333333333334,10.0,34.28333333333333,91.0,5.0,17.066666666666666,105.0
31.0,69.0,1.75,M,21.0975,83.16666666666667,10.0,37.983333333333334,49.0,5.0,18.783333333333335,175.0
40.0,66.0,1.86,M,21.0975,85.9,10.0,37.016666666666666,22.0,5.0,18.35,43.0
28.0,63.0,1.72,M,21.0975,64.7,10.0,30.05,77.0,5.0,15.016666666666667,84.0
45.0,56.0,1.76,F,21.0975,84.1,10.0,38.11666666666667,169.0,5.0,19.033333333333335,133.0
48.0,66.0,1.77,M,21.0975,77.9,10.0,35.083333333333336,161.0,5.0,17.533333333333335,161.0
64.0,56.0,1.64,M,21.0975,85.05,10.0,39.833333333333336,169.0,5.0,19.15,127.0
